name,biography,photo,birth_date,death_date,nationality
LCSW,"(Lỗi dữ liệu) Đây là viết tắt của 'Licensed Clinical Social Worker' (Nhân viên công tác xã hội lâm sàng), thường đi sau tên tác giả chứ không phải tên riêng.",,,,
La Quán Trung,"Tiểu thuyết gia lỗi lạc thời Nguyên-Minh (Trung Quốc). Tác giả của 'Tam Quốc Diễn Nghĩa', một trong Tứ đại danh tác văn học cổ điển Trung Hoa.",,,,Trung Quốc
Lai Tư Bình,"Tác giả/Dịch giả Trung Quốc, chuyên biên soạn các sách về văn hóa, lịch sử và triết học phương Đông.",,,,Trung Quốc
Lalah Delia,"Nhà giáo dục sức khỏe tinh thần, tác giả cuốn 'Vibrate Higher Daily'. Bà chia sẻ về cách nâng cao tần số năng lượng và sống tỉnh thức.",,,,Hoa Kỳ
Lam,"Tác giả trẻ Việt Nam, nổi tiếng với những dòng tản văn nhẹ nhàng, hoài niệm. Tác phẩm tiêu biểu: 'Nắng đượm đà, mưa dầm dề', 'Những ngày tháng rực rỡ'.",,,,Việt Nam
Lama Anagarika Govinda,"Tu sĩ, học giả Phật giáo và họa sĩ người Đức. Ông là người có công lớn trong việc giới thiệu Phật giáo Tây Tạng đến phương Tây.",,,1985-01-14,Đức
Lama Christie McNally,Giảng viên Phật học và Yoga. Bà là đồng tác giả (cùng Geshe Michael Roach) của các cuốn sách ứng dụng triết lý cổ xưa vào cuộc sống hiện đại.,,,,Hoa Kỳ
Lama Surya Das,"Lama (Thầy) dòng Phật giáo Tây Tạng người Mỹ. Ông là nhà thơ, nhà hoạt động tâm linh và tác giả sách bán chạy 'Awakening the Buddha Within'.",,1950-01-01,,Hoa Kỳ
Larousse,"(Éditions Larousse) Nhà xuất bản danh tiếng của Pháp, chuyên về từ điển và bách khoa toàn thư. Cái tên Larousse đồng nghĩa với sự chuẩn mực về tri thức tại Pháp.",,,,Pháp
Larry Berman,"Giáo sư, nhà sử học người Mỹ. Ông dành nhiều năm nghiên cứu về chiến tranh Việt Nam và là tác giả cuốn tiểu sử xuất sắc 'Điệp viên hoàn hảo' về Phạm Xuân Ẩn.",,1951-01-01,,Hoa Kỳ
Lasse Rouhiainen,Chuyên gia quốc tế về trí tuệ nhân tạo (AI) và tiếp thị kỹ thuật số. Tác giả cuốn 'Trí tuệ nhân tạo: 101 điều cần biết'.,,,,Phần Lan
Laura C. Martin,"Tác giả chuyên viết về làm vườn, thiên nhiên và các phương pháp thủ công (crafts). Bà đã xuất bản hơn 25 đầu sách.",,1952-06-12,,Hoa Kỳ
Laurent Audouin,"Họa sĩ minh họa sách thiếu nhi người Pháp. Nét vẽ của ông hài hước, sinh động, rất được trẻ em yêu thích (Series 'Thám tử lừng danh Mirette').",,1969-01-01,,Pháp
Lazar Lagin,"Nhà văn trào phúng và văn học thiếu nhi Liên Xô. Tác giả của 'Ông già Khốt-ta-bít' (Old Khottabych), câu chuyện cổ tích hiện đại kinh điển.",,1903-04-12,1979-06-16,Liên Xô
Leatrice Eiseman,"Giám đốc điều hành Viện màu sắc Pantone. Bà được coi là 'chuyên gia màu sắc quốc tế', tác giả của nhiều sách về tâm lý học màu sắc.",,,,Hoa Kỳ
Lee Jang Dol,"Tác giả người Hàn Quốc, chuyên soạn thảo các bộ sách học tiếng Anh nổi tiếng. Ông là cha đẻ của bộ 'Reader's Bank' giúp nâng cao kỹ năng đọc hiểu cho hàng triệu học sinh.",,,,Hàn Quốc
Leigh Bardugo,"Nhà văn giả tưởng người Mỹ, tác giả của vũ trụ Grishaverse (Bóng và Xương). Các tác phẩm của bà nổi tiếng với thế giới phép thuật đen tối và nhân vật phức tạp.",,1975-06-04,,Hoa Kỳ
Leil Lowndes,Chuyên gia giao tiếp và quan hệ nhân sự người Mỹ. Bà là tác giả của những cuốn sách bán chạy như 'How to Talk to Anyone' (Nghệ thuật giao tiếp để thành công).,,1950-01-01,,Hoa Kỳ
Leopold,"(Aldo Leopold) Nhà sinh thái học, nhà văn người Mỹ. Tác phẩm 'Niên giám Sand County' của ông là nền tảng của đạo đức môi trường hiện đại.",,,1948-04-21,Hoa Kỳ
Lewis Richards,Chuyên gia giảng dạy tiếng Anh (ELT) và giám khảo IELTS. Đồng tác giả cuốn sách 'IELTS Advantage: Writing Skills' được đánh giá rất cao.,,,,Anh
Lewis Spence,"Nhà báo, nhà thơ và nhà nghiên cứu văn hóa dân gian người Scotland. Ông viết nhiều sách về thần thoại, huyền bí và các nền văn minh đã mất (như Atlantis).",,,1955-03-03,Scotland
Li Zheng,"Giáo sư, nhà nghiên cứu về năng lượng và biến đổi khí hậu (thường là đồng tác giả các báo cáo khoa học hoặc sách chuyên khảo về năng lượng tại Trung Quốc).",,,,Trung Quốc
Lighthouse Writers,"(Lighthouse Writers Workshop) Tổ chức văn học phi lợi nhuận tại Denver (Mỹ), chuyên cung cấp các khóa học viết văn và hỗ trợ cộng đồng tác giả.",,,,Hoa Kỳ
Lily Trương,"Tác giả trẻ, người sáng tạo nội dung (Content Creator) chuyên về phát triển bản thân. Tác giả cuốn sách song ngữ 'Tôi thích dáng vẻ nỗ lực của chính mình'.",,,,Việt Nam
Linda A. Hill,"Giáo sư Quản trị Kinh doanh tại Đại học Harvard. Bà là chuyên gia hàng đầu về lãnh đạo và đổi mới sáng tạo, đồng tác giả cuốn 'Thiên tài tập thể' (Collective Genius).",,1956-01-01,,Hoa Kỳ
Linda Yueh,"Nhà kinh tế học, nhà văn và phát thanh viên người Anh gốc Đài Loan. Bà chuyên viết về các xu hướng kinh tế vĩ mô và lịch sử tư tưởng kinh tế.",,1977-01-01,,Anh
Linh Chi,(Nguyễn Tài Lương) Họa sĩ tranh lụa nổi tiếng của Việt Nam. (Lưu ý: Cần kiểm tra xem sách bạn đang có là sách tranh của họa sĩ này hay sách của tác giả trẻ cùng tên).,,1921-01-01,2016-01-01,Việt Nam
Linh Phan,"Tác giả, chuyên gia tư vấn làm cha mẹ và phát triển sự nghiệp (Freelance). Tác giả của 'Mẹ lười một chút thì sao', 'Con đường trở thành Freelance Writer'.",,,,Việt Nam
Liu Chang,"(Lưu Sướng) Giảng viên ngôn ngữ, đồng tác giả của bộ giáo trình chuẩn HSK (HSK Standard Course) được sử dụng rộng rãi trên toàn thế giới.",,,,Trung Quốc
Liễu Phàm,"(Viên Liễu Phàm) Học giả, quan lại thời nhà Minh (Trung Quốc). Tác giả của cuốn 'Liễu Phàm Tứ Huấn', sách dạy con tu thân tích đức nổi tiếng.",,,,Trung Quốc
LookLook English,Thương hiệu/Nhóm tác giả chuyên biên soạn sách học tiếng Anh qua hình ảnh và phương pháp trực quan.,,,,
Lou Aronica,"Tác giả và biên tập viên sách người Mỹ. Ông thường đồng sáng tác các cuốn sách non-fiction bán chạy (như 'The Culture Code', 'The Element' cùng Ken Robinson).",,1958-08-01,,Hoa Kỳ
Louie Stowell,Nhà văn thiếu nhi người Anh. Tác giả của các loạt sách hài hước và kỳ ảo như 'Loki: A Bad God's Guide to Being Good'.,,,,Anh
Luc Foccroulle,"Nhà văn, họa sĩ minh họa người Bỉ. Ông chuyên sáng tác các tác phẩm dành cho thiếu nhi với phong cách nhẹ nhàng, giàu tính giáo dục.",,1967-01-01,,Bỉ
Lucius Annaeus Seneca,"(Seneca Trẻ) Triết gia Khắc kỷ La Mã, chính khách và nhà soạn kịch lỗi lạc. Các bức thư đạo đức của ông vẫn là kim chỉ nam về nghệ thuật sống cho đến ngày nay.",,,,La Mã cổ đại
Luis Prats,"Nhà văn, nhà sử học nghệ thuật người Tây Ban Nha. Tác giả của cuốn sách thiếu nhi cảm động 'Hachiko: Chú chó đợi chờ'.",,1966-01-01,,Tây Ban Nha
Lulu Cook,"Chuyên gia dinh dưỡng, tác giả sách nấu ăn. Bà chuyên về chế độ ăn chống viêm và sức khỏe đường ruột.",,,,Hoa Kỳ
Lundy Bancroft,"Nhà tư vấn, chuyên gia về bạo lực gia đình và lạm dụng. Tác giả cuốn sách đột phá 'Why Does He Do That?' giải mã tâm lý của những người đàn ông bạo hành.",,,,Hoa Kỳ
Lynn Lott,"Chuyên gia tư vấn gia đình, đồng tác giả bộ sách 'Kỷ luật tích cực' (Positive Discipline) nổi tiếng toàn cầu.",,,,Hoa Kỳ
Lâm Bình Bảo,"Doanh nhân, người sáng lập Công ty Sách Phương Nam (Phương Nam Corp) và Bebook. Ông có đóng góp lớn cho ngành xuất bản Việt Nam.",,,,Việt Nam
Lâm Minh Chánh,"Doanh nhân, chuyên gia tài chính cá nhân. Chủ tịch Học viện Kinh doanh & Tài chính BizUni, tác giả cuốn 'Tài chính cá nhân dành cho người Việt'.",,,,Việt Nam
Lã Nhâm Thìn,"Nhà nghiên cứu văn hóa, tác giả các cuốn sách về phong tục, tín ngưỡng và văn hóa dân gian Việt Nam.",,,,Việt Nam
Lão Tử,"Triết gia vĩ đại Trung Hoa, người sáng lập Đạo giáo. Tác giả của 'Đạo Đức Kinh' - một trong những tác phẩm triết học có ảnh hưởng nhất lịch sử nhân loại.",,,,Trung Quốc
Lê Anh Vinh,"Tiến sĩ Toán học (Đại học Harvard), Viện trưởng Viện Khoa học Giáo dục Việt Nam. Ông là tác giả của nhiều cuốn sách toán học tư duy cho trẻ em.",,1983-01-01,,Việt Nam
Lê Bá Dương,"Nhà thơ, nhà báo, cựu chiến binh Thành cổ Quảng Trị. Tác giả của những vần thơ 'Đò lên Thạch Hãn' đầy ám ảnh về sự hy sinh của đồng đội.",,1953-11-09,,Việt Nam
Lê Minh Hà,"Nhà văn, nhà báo hiện sống tại Đức. Văn chương của bà tinh tế, giàu chất suy tưởng về ký ức Hà Nội và thân phận con người.",,1962-01-01,,Việt Nam
Lê Minh Phát,Dịch giả/Tác giả (Thông tin chi tiết đang cập nhật).,,,,Việt Nam
Lê Quang,"Nhạc sĩ nổi tiếng Việt Nam, tác giả của nhiều ca khúc hit như 'Niềm tin chiến thắng', 'Đi về nơi xa'. Ông cũng tham gia viết tản văn.",,1968-01-01,,Việt Nam
Lê Quốc Vinh,"Chuyên gia truyền thông, Chủ tịch Le Bros. Ông là một trong những người tiên phong trong lĩnh vực báo chí và truyền thông thương hiệu tại Việt Nam.",,,,Việt Nam
Lê Thu Hà,"(Thông tin cần xác minh: Có thể là dịch giả Lê Thu Hà chuyên dịch sách văn học/kỹ năng, hoặc Thẩm phán/Tướng lĩnh như Wikipedia gợi ý). Trong ngữ cảnh sách, thường là Dịch giả.",,,,Việt Nam
Lê Văn Phúc,"Tác giả/Dịch giả Việt Nam. (Lưu ý: Tên này trùng với một Thiếu tướng biên phòng, nhưng trong ngữ cảnh sách thường là người viết hoặc dịch sách).",,,,Việt Nam
Lê Xuân Vịnh,"Tác giả chuyên viết về văn hóa, lịch sử hoặc kỹ năng sống.",,,,Việt Nam
Lê Đình Hiền,Dịch giả hoặc nhà nghiên cứu (Thông tin chi tiết đang cập nhật).,,,,Việt Nam
Lê Đạt,"Nhà thơ, nhà văn Việt Nam, một trong những đại diện xuất sắc của phong trào Nhân văn - Giai phẩm. Ông nổi tiếng với những tìm tòi, cách tân táo bạo về ngôn ngữ thơ.",,1929-10-09,2008-04-21,Việt Nam
Lê Đỗ Quỳnh Hương,"(Quỳnh Hương) MC, nhà báo và tác giả truyền cảm hứng. Cô nổi tiếng với chương trình 'Thay lời muốn nói' và các cuốn sách về sống đẹp, thần số học.",,1974-01-05,,Việt Nam
Lý Duy Văn,Tác giả văn học mạng hoặc sách kỹ năng Trung Quốc.,,,,Trung Quốc
Lý Dương Lâm,Tác giả/Dịch giả (Thông tin chi tiết đang cập nhật).,,,,Trung Quốc
Lý Hiểu Kỳ,"Tác giả Trung Quốc, thường viết về các chủ đề văn hóa, xã hội hoặc tiểu thuyết.",,,,Trung Quốc
Lý Hạo Hiên,Tác giả văn học trẻ Trung Quốc.,,,,Trung Quốc
Lý Lâm Duy,Tác giả/Chuyên gia (Thông tin chi tiết đang cập nhật).,,,,Trung Quốc
Lý Thiếu Quân,"(Tây Hán) Phương sĩ (đạo sĩ) nổi tiếng thời Hán Vũ Đế, người gắn liền với các truyền thuyết về thuật luyện đan và trường sinh bất lão.",,,,Trung Quốc
Lý Thượng Long,"Tác giả trẻ, đạo diễn và cựu giáo viên tiếng Anh người Trung Quốc. Ông nổi tiếng với những cuốn sách kỹ năng sống thẳng thắn, thực tế như 'Vươn lên hoặc bị đánh bại'.",,1990-01-01,,Trung Quốc
Lý Thế Minh,Tác giả/Học giả Trung Quốc (Lưu ý: Dữ liệu cũ bị nhầm với Thượng tướng quân đội. Cần kiểm tra lại tác phẩm cụ thể để xác định chính xác).,,,,Trung Quốc
Lý Vĩ,"Tác giả/Nhà văn Trung Quốc. (Lưu ý: Tên này rất phổ biến, có thể là nhà thơ cổ điển hoặc nhà văn hiện đại, dữ liệu cũ bị nhầm với tướng quân đội).",,,,Trung Quốc
Lưu Hiểu Huy,"Tác giả sách kỹ năng sống Trung Quốc. Tác phẩm của cô thường hướng đến phụ nữ hiện đại, độc lập và tự chủ.",,,,Trung Quốc
Lưu Kính Dư,Tác giả/Dịch giả (Thông tin chi tiết đang cập nhật).,,,,Trung Quốc
Lưu Trường Vỹ,Tác giả chuyên viết về giáo dục hoặc tâm lý học.,,,,Trung Quốc
Lưu Tố Bình,Tác giả tiểu thuyết hoặc sách văn học Trung Quốc.,,,,Trung Quốc
Lưu Đình Long,"Nhà báo, cư sĩ Phật giáo. Anh nổi tiếng với những cuốn sách tản văn nhẹ nhàng, mang đậm triết lý Phật giáo như 'Như mây thong dong', 'Tâm thả lỏng, đời thong dong'.",,,,Việt Nam
Lưu Đường Hâm,Tác giả/Biên tập viên Trung Quốc.,,,,Trung Quốc
Lương Trọng Minh,"Dịch giả, nhà nghiên cứu văn hóa và lịch sử. Ông có nhiều đóng góp trong việc biên dịch các tác phẩm kinh điển và sách nghiên cứu về văn hóa phương Đông.",,,,Việt Nam
Lương y Nguyễn Thiên Quyến,"Lương y, nhà nghiên cứu y học cổ truyền nổi tiếng. Ông là tác giả của nhiều cuốn sách về châm cứu và các bài thuốc nam.",,,,Việt Nam
Lỗ Tấn,"Nhà văn, nhà tư tưởng lớn của Trung Quốc thế kỷ 20. Ông được coi là người đặt nền móng cho văn học hiện đại Trung Quốc với các tác phẩm như 'AQ chính truyện', 'Nhật ký người điên'.",,,1936-10-19,Trung Quốc
M. Scott Peck,"Bác sĩ tâm thần, nhà văn Mỹ. Tác giả cuốn sách tự lực kinh điển 'Con đường chẳng mấy ai đi' (The Road Less Traveled), bán được hơn 10 triệu bản.",,1936-05-22,2005-09-25,Hoa Kỳ
Maebo Kanako,"Họa sĩ minh họa và tác giả sách tranh người Nhật Bản. Các tác phẩm của cô thường có phong cách ấm áp, dễ thương, dành cho lứa tuổi mầm non.",,,,Nhật Bản
Maia Szalavitz,"Nhà báo, tác giả người Mỹ chuyên về khoa học thần kinh và các vấn đề nghiện ngập. Bà ủng hộ cách tiếp cận giảm thiểu tác hại trong điều trị nghiện.",,1965-03-29,,Hoa Kỳ
MBA,"(Master of Business Administration) Thạc sĩ Quản trị Kinh doanh. (Lưu ý: Đây là tên bằng cấp, không phải tên tác giả. Thường dùng cho các cuốn sách tổng hợp kiến thức MBA).",,,,
MD,"(Doctor of Medicine) Bác sĩ y khoa. (Lưu ý: Đây là chức danh, không phải tên riêng).",,,,
MJ DeMarco,"Doanh nhân, tác giả của cuốn sách 'Triệu phú thần tốc' (The Millionaire Fastlane). Ông phê phán lối sống 'làm giàu chậm' và cổ vũ tư duy làm chủ tài chính.",,,,Hoa Kỳ
Ma Nữ Sha Sha,"Tác giả tiểu thuyết ngôn tình, văn học mạng Trung Quốc. Nổi tiếng với các câu chuyện tình cảm lãng mạn, đôi khi có yếu tố kỳ ảo.",,,,Trung Quốc
Ma Văn Kháng,"Nhà văn tiêu biểu của văn học Việt Nam hiện đại. Tác giả của 'Mùa lá rụng trong vườn', 'Đám cưới không có giấy giá thú'. Ông từng nhận Giải thưởng Hồ Chí Minh.",,1936-01-12,,Việt Nam
MacMillan,"(Macmillan Publishers) Một trong những tập đoàn xuất bản lớn nhất thế giới, có trụ sở tại London. Nổi tiếng với các dòng sách giáo dục, từ điển và văn học.",,,,Anh
Machiavelli,"(Niccolò Machiavelli) Nhà ngoại giao, triết gia chính trị thời Phục hưng Ý. Tác giả cuốn 'Quân Vương' (The Prince), tác phẩm kinh điển về thuật cai trị và quyền lực.",,,,Ý
Madeline Miller,"Nhà văn Mỹ, thạc sĩ văn học cổ điển. Bà nổi tiếng với việc kể lại các thần thoại Hy Lạp dưới góc nhìn mới đầy cảm xúc trong 'Ca khúc của Achilles' và 'Circe'.",,1978-07-24,,Hoa Kỳ
Mai Anh,"(Có thể là Nguyễn Mai Anh) Tác giả trẻ, Travel Blogger hoặc nhà báo. (Lưu ý: Dữ liệu cũ nhầm với diễn viên Pháp gốc Việt. Cần kiểm tra lại tác phẩm cụ thể).",,,,Việt Nam
Mai Lan Hương,"Tác giả biên soạn sách tiếng Anh nổi tiếng nhất Việt Nam. Các cuốn sách bài tập, ngữ pháp của bà là tài liệu gối đầu giường của nhiều thế hệ học sinh.",,,,Việt Nam
Mai Xuân Đạt,"Chuyên gia quản trị hiệu suất, người tiên phong phổ biến phương pháp OKRs tại Việt Nam. Tác giả cuốn 'OKRs - Hiểu đúng, làm đúng'.",,,,Việt Nam
Makino Akiko,Tác giả truyện tranh (Manga) Nhật Bản. Nổi tiếng với các tác phẩm thuộc thể loại Shojo (dành cho thiếu nữ).,,,,Nhật Bản
Malcolm Gladwell,"Nhà báo, tác giả người Canada. Ông nổi tiếng với những cuốn sách phi hư cấu phân tích các hiện tượng xã hội thú vị như 'Những kẻ xuất chúng', 'Điểm bùng phát'.",,1963-03-09,,Canada
Mami Tsumura,"Nhà văn Nhật Bản. Tác giả cuốn 'There's No Such Thing as an Easy Job' (Không có công việc nào dễ dàng), phản ánh hài hước về văn hóa làm việc hiện đại.",,,,Nhật Bản
Manuela Mischke-Reeds,Chuyên gia trị liệu tâm lý soma (cơ thể). Tác giả các cuốn sách hướng dẫn về chánh niệm và giải tỏa chấn thương tâm lý thông qua cơ thể.,,,,Hoa Kỳ
Marc Levy,"Tiểu thuyết gia người Pháp, tác giả sách bán chạy nhất tại Pháp hiện nay. Nổi tiếng với các cuốn tiểu thuyết lãng mạn pha chút giả tưởng như 'Nếu em không phải một giấc mơ'.",,1961-10-16,,Pháp
Marc Vernet,"Giáo sư, chuyên gia về điện ảnh và thị giác. Ông viết các sách lý thuyết về ngôn ngữ hình ảnh và nghệ thuật kể chuyện trong phim.",,1947-01-01,,Pháp
Marcel Gaultier,"Nhà văn, nhà sử học người Pháp chuyên viết về Đông Dương thời thuộc địa. Tác giả cuốn 'Vua Minh Mạng' và các tiểu sử vua chúa Nguyễn.",,,,Pháp
Marcus Aurelius,"Hoàng đế La Mã, triết gia Khắc kỷ vĩ đại. Tác phẩm 'Suy tưởng' (Meditations) của ông là cuốn sách gối đầu giường về nghệ thuật sống và đạo đức.",,,,La Mã cổ đại
Marcus Tullius Cicero,"Triết gia, luật sư và nhà hùng biện vĩ đại nhất La Mã cổ đại. Ông có ảnh hưởng sâu sắc đến ngôn ngữ Latinh và tư tưởng phương Tây.",,,,La Mã cổ đại
Margaret Mitchell,"Nữ văn sĩ người Mỹ, tác giả của kiệt tác duy nhất 'Cuốn theo chiều gió' (Gone with the Wind), cuốn tiểu thuyết kinh điển về miền Nam nước Mỹ.",,1900-08-11,1949-08-16,Hoa Kỳ
Margareta Magnusson,"Họa sĩ, tác giả người Thụy Điển. Bà nổi tiếng thế giới với cuốn sách về lối sống tối giản 'Dostadning' (Nghệ thuật dọn dẹp của người Thụy Điển).",,1934-01-01,,Thụy Điển
Marimo Ragawa,"Họa sĩ truyện tranh Nhật Bản, nổi tiếng với bộ manga gia đình cảm động 'Em bé và tôi' (Aka-chan to Boku) và các tác phẩm về âm nhạc.",,1973-09-21,,Nhật Bản
Mario Puzo,"Nhà văn, biên kịch người Mỹ gốc Ý. Tác giả của tiểu thuyết tội phạm kinh điển 'Bố Già' (The Godfather), định hình hình ảnh Mafia trong văn hóa đại chúng.",,1920-10-15,1999-02-07,Hoa Kỳ
Marion Achard,"Nhà văn, nghệ sĩ xiếc người Pháp. Bà viết sách thiếu nhi và thanh thiếu niên với phong cách hài hước, giàu trí tưởng tượng.",,1976-12-23,,Pháp
Mark Manson,"Blogger, tác giả sách bán chạy người Mỹ. Ông nổi tiếng với phong cách viết thẳng thắn, thô nhưng thật trong cuốn 'Nghệ thuật tinh tế của việc đếch quan tâm'.",,1984-09-03,,Hoa Kỳ
Mark Victor Hansen,"Diễn giả truyền cảm hứng, đồng sáng lập bộ sách 'Hạt giống tâm hồn' (Chicken Soup for the Soul). Ông là bậc thầy về kể chuyện và tư duy tích cực.",,1948-08-01,,Hoa Kỳ
Marshall B. Rosenberg,"Tiến sĩ tâm lý học, nhà kiến tạo hòa bình. Ông là người sáng lập phương pháp 'Giao tiếp phi bạo lực' (Nonviolent Communication - NVC).",,1934-06-10,2015-07-02,Hoa Kỳ
Martha Beck,"Tiến sĩ xã hội học, chuyên gia tư vấn cuộc sống (Life Coach) cho Oprah Winfrey. Bà viết về cách tìm lại chính mình và sống cuộc đời trọn vẹn.",,1962-11-29,,Hoa Kỳ
Martin Hilb,Giáo sư quản trị nhân sự và quản trị công ty tại Đại học St. Gallen (Thụy Sĩ). Tác giả của mô hình quản trị nhân sự tích hợp.,,1948-01-01,,Thụy Sĩ
Mary Chadwick,Y tá và nhà phân tâm học người Anh. Bà là một trong những người tiên phong trong lĩnh vực phân tâm học trẻ em tại Anh.,,,1943-01-01,Anh
Mary Sheedy Kurcinka,"Nhà giáo dục, chuyên gia tư vấn nuôi dạy con. Tác giả cuốn sách nổi tiếng 'Raising Your Spirited Child' (Nuôi dạy đứa trẻ giàu cảm xúc).",,1950-01-01,,Hoa Kỳ
Masato Takeuchi,Tác giả/Chuyên gia Nhật Bản (Thông tin chi tiết đang cập nhật).,,,,Nhật Bản
Master Anh Đức,"(Lương Ngọc Đức) Doanh nhân, diễn giả và tác giả sách về phát triển bản thân và tâm linh ứng dụng. Tác giả cuốn 'Hành trình thức tỉnh'.",,,,Việt Nam
Matsushita Konosuke,"Ông tổ của tập đoàn Panasonic, được mệnh danh là 'Vị thần kinh doanh' của Nhật Bản. Triết lý quản trị của ông ảnh hưởng sâu sắc đến nền kinh tế Nhật.",,,1989-04-27,Nhật Bản
Matt Haig,"Nhà văn, nhà báo người Anh. Tác giả của những cuốn sách best-seller về sức khỏe tinh thần như 'Những điều giữ tôi còn sống' và tiểu thuyết 'Thư viện nửa đêm'.",,1975-03-07,,Anh
Matthew Brennan,"Chuyên gia công nghệ, tác giả cuốn 'Attention Factory' (Nhà máy sự chú ý) phân tích sự trỗi dậy của TikTok và ByteDance.",,,,Anh
Maudie Powell-Tuck,Tác giả sách tranh thiếu nhi người Anh. Các câu chuyện của bà thường mang màu sắc phép thuật và trí tưởng tượng phong phú.,,,,Anh
Mauro F. Guillén,Giáo sư Quản trị tại trường Wharton. Ông là chuyên gia về các xu hướng toàn cầu và tác giả cuốn '2030: Những xu hướng lớn sẽ định hình thế giới tương lai'.,,1964-01-01,,Tây Ban Nha
Max Tegmark,"Nhà vật lý, chuyên gia AI tại MIT. Ông là chủ tịch Viện Tương lai Sự sống và tác giả cuốn 'Life 3.0', bàn về tương lai của trí tuệ nhân tạo và con người.",,1967-05-05,,Thụy Điển
Maye Musk,"Người mẫu, chuyên gia dinh dưỡng và là mẹ của tỷ phú Elon Musk. Bà là biểu tượng của sự kiên cường và vẻ đẹp bất chấp tuổi tác.",,1948-04-19,,Nam Phi
Meg Jay,"Tiến sĩ tâm lý học lâm sàng. Tác giả cuốn sách nổi tiếng 'Tuổi 20 - Những năm tháng quyết định' (The Defining Decade), lời khuyên cho giới trẻ về sự nghiệp và tình yêu.",,1970-01-01,,Hoa Kỳ
Megumi Morino,"Họa sĩ truyện tranh (Mangaka) Nhật Bản. Tác giả của bộ truyện lãng mạn nổi tiếng 'Thương em, anh muốn làm điều này với em' (Hananoi-kun to Koi no Yamai).",,,,Nhật Bản
Melinda Blau,"Nhà báo, tác giả sách gia đình. Bà là đồng tác giả của bộ sách nuôi dạy con kinh điển 'Baby Whisperer' (Lời thì thầm của trẻ).",,1943-01-01,,Hoa Kỳ
Merlin Sheldrake,"Nhà nấm học, tiến sĩ sinh thái học nhiệt đới. Tác giả cuốn sách đạt nhiều giải thưởng 'Mạng lưới vạn vật' (Entangled Life) về thế giới kỳ diệu của nấm.",,1987-01-01,,Anh
Michael Duff Newton,"Tiến sĩ tư vấn tâm lý, chuyên gia thôi miên hồi quy. Ông là người sáng lập Viện Newton và tác giả cuốn 'Hành trình của linh hồn' (Journey of Souls).",,1931-09-12,2016-09-22,Hoa Kỳ
Michael Goodwin,"Nhà văn, họa sĩ minh họa người Mỹ. Tác giả cuốn 'Economix' (Các nền kinh tế vận hành như thế nào) - cuốn sách giải thích lịch sử kinh tế bằng tranh hài hước.",,,,Hoa Kỳ
Michael Gordon,Tác giả sách thiếu nhi nổi tiếng. Ông đã viết hàng trăm cuốn sách tranh giúp trẻ em học kỹ năng xã hội và quản lý cảm xúc.,,,,Hoa Kỳ
Michael Greger,"Bác sĩ, chuyên gia dinh dưỡng lâm sàng. Tác giả cuốn 'Ăn gì không chết' (How Not To Die) và người sáng lập trang NutritionFacts.org.",,1972-10-25,,Hoa Kỳ
Michael Lennington,"Chuyên gia tư vấn quản trị, đồng tác giả cuốn sách 'Kế hoạch 12 tuần' (The 12 Week Year). Ông giúp các cá nhân và tổ chức cải thiện hiệu suất làm việc.",,1958-01-01,,Hoa Kỳ
Michael Lewis,"Nhà báo tài chính, tác giả phi hư cấu hàng đầu nước Mỹ. Các tác phẩm của ông như 'The Big Short' (Bán khống), 'Moneyball' thường được chuyển thể thành phim bom tấn.",,1960-10-15,,Hoa Kỳ
Michael Nicholas,(Có thể là Michael J. Nicholas) Tác giả chuyên viết về chiến lược kinh doanh và kỹ năng lãnh đạo.,,,,Anh
Michel Marie,Giáo sư danh dự chuyên ngành Điện ảnh tại Đại học Paris III. Ông là tác giả của nhiều cuốn sách lý luận và phân tích phim kinh điển.,,1944-03-04,,Pháp
Michelle Nguyen,"Doanh nhân, diễn giả và chuyên gia tư vấn. Tác giả cuốn '7 bước thiết lập kế hoạch cuộc đời' giúp người trẻ định hướng tương lai.",,,,Việt Nam
Michiko Aoyama,"Nhà văn Nhật Bản, nổi tiếng với cuốn sách chữa lành 'Những gì bạn tìm kiếm đều nằm trong thư viện' (What You Are Looking For Is in the Library).",,1970-01-01,,Nhật Bản
Michio Kaku,"Nhà vật lý lý thuyết người Mỹ gốc Nhật, người đồng sáng lập lý thuyết dây. Ông là gương mặt quen thuộc trong việc phổ biến khoa học vũ trụ đến đại chúng.",,1947-01-24,,Hoa Kỳ
Michitake Aso,Phó giáo sư Lịch sử tại Đại học Albany. Ông chuyên nghiên cứu về lịch sử môi trường và y tế tại Việt Nam và Đông Nam Á.,,,,Nhật Bản
Mihaly Csikszentmihalyi,Nhà tâm lý học người Mỹ gốc Hungary. Ông nổi tiếng toàn cầu với việc đặt tên và phát triển khái niệm 'Dòng chảy' (Flow) - trạng thái tập trung cao độ mang lại hạnh phúc.,,1934-09-29,2021-10-20,Hungary
Mihiro Matsuda,"Doanh nhân, tác giả người Nhật. Ông sáng lập 'Hội đặt câu hỏi ma thuật', chuyên viết sách về kỹ năng đặt câu hỏi để kích hoạt tiềm năng con người.",,1973-12-31,,Nhật Bản
